station_id,station_name,network,latitude,longitude,elevation_m,selected_for_project,variable_count,variables
MH::dpcn-veneto::07cd37e02056,Ariano SIAP,dpcn-veneto,44.93972,12.13972,2.0,False,1,B13215
MH::dpcn-veneto::08e720c67d9b,Chioggia CMT,dpcn-veneto,45.21813,12.28305,0.0,True,2,B12101|B13011
MH::dpcn-veneto::0c659e6c1d36,Passo Falzarego,dpcn-veneto,46.52017,12.02802,2104.0,False,7,B10004|B11001|B11002|B12101|B13003|B13011|B13013
MH::dpcn-veneto::0c88e21d8d39,Vazzola CMT,dpcn-veneto,45.81169,12.3419,40.0,False,3,B12101|B13003|B13011
MH::dpcn-veneto::0d90cce14511,Portogruaro,dpcn-veneto,45.78668,12.83849,5.0,False,1,B13215
MH::dpcn-veneto::0ed24971906a,Belluno 2,dpcn-veneto,46.13503,12.21827,337.0,False,1,B13215
MH::dpcn-veneto::10fb5bb2827a,Malga Col Indes CMT,dpcn-veneto,46.11907,12.44016,1173.0,False,5,B11001|B11002|B12101|B13003|B13011
MH::dpcn-veneto::11755c26b1ca,Meduna di Livenza,dpcn-veneto,45.80511,12.61058,8.0,False,1,B13215
MH::dpcn-veneto::12642ed26d92,Recoaro Mille  CMT,dpcn-veneto,45.67972,11.22577,0.0,False,6,B11001|B11002|B11041|B12101|B13003|B13011
MH::dpcn-veneto::135f658a5ce6,Latisana,dpcn-veneto,45.75583,12.9975,6.0,True,1,B13215
MH::dpcn-veneto::142381302a5c,Bolzano Vicentino,dpcn-veneto,45.60089,11.6209,42.0,False,1,B13215
MH::dpcn-veneto::16b9c6d06343,Valli Mocenighe,dpcn-veneto,45.15514,11.56501,9.0,False,1,B13215
MH::dpcn-veneto::16c3bfc887e1,Ficarolo,dpcn-veneto,44.94528,11.42556,10.0,False,1,B13215
MH::dpcn-veneto::170d7fca219b,2-INADEF (Rudan dx briglia),dpcn-veneto,46.41699,12.25879,0.0,False,1,B13011
MH::dpcn-veneto::1839c361affc,Recoaro Terme,dpcn-veneto,45.70199,11.2147,751.0,False,3,B12101|B13011|B13215
MH::dpcn-veneto::1a9f360e01a4,Enego,dpcn-veneto,45.95441,11.715,575.0,False,1,B13215
MH::dpcn-veneto::1b85fad3fad7,Carmignano,dpcn-veneto,45.14362,11.64371,8.0,False,1,B13215
MH::dpcn-veneto::1bb667d5cede,Portobuffole',dpcn-veneto,45.85067,12.53638,11.0,False,1,B13215
MH::dpcn-veneto::1be5d1318ddc,Monte Faloria CMT,dpcn-veneto,46.52745,12.17509,2221.0,False,5,B11001|B11002|B12101|B13003|B13011
MH::dpcn-veneto::1da208357280,Piana di Marcesina CMT,dpcn-veneto,45.94867,11.6125,0.0,False,6,B11001|B11002|B11041|B12101|B13003|B13011
MH::dpcn-veneto::2054e6a7e1d3,Zuccarello CMT,dpcn-veneto,45.53739,12.37831,0.0,True,6,B11001|B11002|B11041|B12101|B13003|B13011
MH::dpcn-veneto::24018eecb525,Venezia-Treporti CMT,dpcn-veneto,45.45872,12.48626,1.0,True,5,B11001|B11002|B12101|B13003|B13011
MH::dpcn-veneto::24169717de4c,San Bortolo CMT,dpcn-veneto,45.60854,11.18137,924.0,False,4,B11001|B11002|B12101|B13011
MH::dpcn-veneto::2547194088c6,Cavanella SIAP,dpcn-veneto,45.02778,12.15139,6.0,False,1,B13215
MH::dpcn-veneto::25b083e6b97a,Volpago CMT,dpcn-veneto,45.78502,12.11305,110.0,False,5,B11001|B11002|B12101|B13003|B13011
MH::dpcn-veneto::2784ef8ee33d,Cortina CMT,dpcn-veneto,46.53669,12.1274,1203.0,False,5,B11001|B11002|B12101|B13003|B13011
MH::dpcn-veneto::278a97f1d36b,Monte Tomba,dpcn-veneto,45.68342,11.06889,1580.0,False,6,B11001|B11002|B11041|B12101|B13003|B13013
