method,lead_hour,region,variable,mae,rmse,sample_windows
dense_era5t_persistence,3,sea,u10,1.3329164340735622,1.7240958770905763,152
dense_era5t_persistence,3,sea,v10,1.1889369280144357,1.5504215030624418,152
dense_era5t_persistence,3,sea,t2m,0.48731474077872683,0.7657311580147106,152
dense_era5t_persistence,3,sea,tp,0.0010648483864998703,0.029632087346624238,152
dense_era5t_persistence,4,full,msl,0.7551835029650331,0.9240430644356245,152
dense_era5t_persistence,4,full,u10,1.2105971322283122,1.6121995255474222,152
dense_era5t_persistence,4,full,v10,1.0819888466479155,1.4516748320499515,152
dense_era5t_persistence,4,full,t2m,2.778338547369185,4.153192623488326,152
dense_era5t_persistence,4,full,tp,0.018286951568174885,0.15925449846472814,152
dense_era5t_persistence,4,land,msl,0.8087152176474991,0.9964961258414856,152
dense_era5t_persistence,4,land,u10,0.9498375373228024,1.2442429204271113,152
dense_era5t_persistence,4,land,v10,0.8579460332418829,1.1370297102327667,152
dense_era5t_persistence,4,land,t2m,4.410938295655553,5.437886706785053,152
dense_era5t_persistence,4,land,tp,0.031264527584226424,0.20935343790009908,152
dense_era5t_persistence,4,sea,msl,0.6842539810107655,0.8182195513939264,152
dense_era5t_persistence,4,sea,u10,1.5561035954781126,1.997955056173422,152
dense_era5t_persistence,4,sea,v10,1.3788455744109085,1.7851059162639216,152
dense_era5t_persistence,4,sea,t2m,0.6151438808897466,0.9606691249622642,152
dense_era5t_persistence,4,sea,tp,0.0010916633469065982,0.02988974625400042,152
dense_era5t_persistence,5,full,msl,0.8570169561799922,1.0521243869585715,152
dense_era5t_persistence,5,full,u10,1.3506992492385317,1.7776487590659598,152
dense_era5t_persistence,5,full,v10,1.202057196131433,1.5965892904618333,152
dense_era5t_persistence,5,full,t2m,3.378968966708247,4.971725559940444,152
dense_era5t_persistence,5,full,tp,0.01844348084161806,0.15992932544776114,152
dense_era5t_persistence,5,land,msl,0.926407220573043,1.1427477572020301,152
dense_era5t_persistence,5,land,u10,1.0787687273224391,1.3984643910852543,152
dense_era5t_persistence,5,land,v10,0.9711321062523826,1.2713542453740454,152
dense_era5t_persistence,5,land,t2m,5.378639008364566,6.512011475069818,152
dense_era5t_persistence,5,land,tp,0.031523339916483054,0.21023189283415758,152
dense_era5t_persistence,5,sea,msl,0.7650748558591998,0.9183759217305845,152
dense_era5t_persistence,5,sea,u10,1.7110071907773543,2.1807740865948295,152
dense_era5t_persistence,5,sea,v10,1.508032940221175,1.9455073181023879,152
dense_era5t_persistence,5,sea,t2m,0.7294061615136251,1.1318741770464604,152
dense_era5t_persistence,5,sea,tp,0.001112667567421945,0.0300966797690479,152
dense_era5t_persistence,6,full,msl,0.9271565817226357,1.1465280551762216,152
dense_era5t_persistence,6,full,u10,1.4614385937616499,1.9012808097297205,152
dense_era5t_persistence,6,full,v10,1.2953403589871095,1.7041255611812152,152
dense_era5t_persistence,6,full,t2m,3.9372070849466185,5.700195310349618,152
dense_era5t_persistence,6,full,tp,0.018484425494447256,0.15928584767456605,152
dense_era5t_persistence,6,land,msl,1.0168585119947389,1.2576346105592033,152
dense_era5t_persistence,6,land,u10,1.1938962756462816,1.5334265285070872,152
dense_era5t_persistence,6,land,v10,1.0708240584108044,1.3896734211385744,152
dense_era5t_persistence,6,land,t2m,6.281383407302116,7.468236932827333,152
dense_era5t_persistence,6,land,tp,0.031586565932201285,0.20937112860663462,152
dense_era5t_persistence,6,sea,msl,0.8083015241120991,0.9800994456766178,152
dense_era5t_persistence,6,sea,u10,1.8159321652645128,2.2997758263093377,152
dense_era5t_persistence,6,sea,v10,1.5928244572507138,2.047699305354758,152
dense_era5t_persistence,6,sea,t2m,0.8311734578255832,1.2818467018661617,152
dense_era5t_persistence,6,sea,tp,0.0011240894144231622,0.030113109633441108,152
v9_1_frozen,1,full,msl,0.7812921828544575,1.0094507725847928,152
v9_1_frozen,1,full,u10,0.9975718049492152,1.2903271146327189,152
v9_1_frozen,1,full,v10,1.016502331564271,1.3488704192881775,152
v9_1_frozen,1,full,t2m,1.5114921402672397,2.063674100151491,152
v9_1_frozen,1,full,tp,0.02682261229825493,0.11956617496795317,152
v9_1_frozen,1,land,msl,0.8909490140560378,1.1296121121632363,152
v9_1_frozen,1,land,u10,0.8699347777806684,1.1198989325895077,152
v9_1_frozen,1,land,v10,0.8558676287278276,1.1017584936784972,152
v9_1_frozen,1,land,t2m,2.0401735650058517,2.5800537527143077,152
v9_1_frozen,1,land,tp,0.03925164475038357,0.1567489991933639,152
v9_1_frozen,1,sea,msl,0.6359968815123636,0.823664121808265,152
v9_1_frozen,1,sea,u10,1.1666908659475397,1.4863427937217555,152
v9_1_frozen,1,sea,v10,1.2293433128225586,1.6192110477948671,152
v9_1_frozen,1,sea,t2m,0.8109892524885789,1.0399509985656716,152
v9_1_frozen,1,sea,tp,0.010354144299184485,0.026130128501896575,152
